"UKPRN","PROVIDER_NAME","VIEW_NAME","SORT_NAME","ALIAS","FLAT_NAME_NUMBER","BUILDING_NAME_NUMBER","LOCALITY","STREET_NAME","TOWN","POSTCODE","WEBSITE_URL","WIKIPEDIA_URL","GROUPS","LONGITUDE","LATITUDE","EASTING","NORTHING","GTR_ID","HESA_ID"
"10005553","ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE","Royal Holloway College and Bedford New College","Royal Holloway College and Bedford New College","","","","","EGHAM HILL","EGHAM","TW20 0EX","http://www.rhul.ac.uk/","http://en.wikipedia.org/wiki/Royal_Holloway,_University_of_London","1994_Group","-0.567199","51.425323","499713","170564","A6D6F944-7BD0-49D0-8F3D-1D5B15E2E134","0141"
"10002718","GOLDSMITHS' COLLEGE","Goldsmiths' College","Goldsmiths' College","","","GOLDSMITHS COLLEGE 8","","LEWISHAM WAY","LONDON","SE14 6NW","http://www.gold.ac.uk/","http://en.wikipedia.org/wiki/Goldsmiths,_University_of_London","1994_Group","-0.035375","51.474144","536540","176850","A9B1866C-EE3E-4D81-A83C-118745E9433E","0131"
"10007760","BIRKBECK COLLEGE","Birkbeck College","Birkbeck College","","","BIRKBECK COLLEGE","","MALET STREET","LONDON","WC1E 7HX","http://www.bbk.ac.uk/","http://en.wikipedia.org/wiki/Birkbeck,_University_of_London","1994_Group","-0.127819","51.520998","529987","181892","3E18DACB-05AA-4C71-88FB-C909A8311BB5","0127"
"10007789","UNIVERSITY OF EAST ANGLIA","University of East Anglia","East Anglia, University of","","","NORWICH RESEARCH PARK","","EARLHAM ROAD","NORWICH","NR4 7TJ","http://www.uea.ac.uk/","http://en.wikipedia.org/wiki/University_of_East_Anglia","1994_Group","1.241412","52.622394","619497","307667","88C5F7F9-8DCC-41C9-BC4F-F37DA01075C7","0117"
"10007768","UNIVERSITY OF LANCASTER","University of Lancaster","Lancaster, University of","","","UNIVERSITY HOUSE","BAILRIGG","","LANCASTER","LA1 4YW","http://www.lancs.ac.uk/","http://en.wikipedia.org/wiki/Lancaster_University","1994_Group, N8_Research_Partnership","-2.786905","54.010480","348528","457448","F8C7F869-77D6-4859-96F1-3550A4951F6C","0123"
"10007791","UNIVERSITY OF ESSEX","University of Essex","Essex, University of","","","","","WIVENHOE PARK","COLCHESTER","CO4 3SQ","http://www.essex.ac.uk/","http://en.wikipedia.org/wiki/University_of_Essex","1994_Group","0.945058","51.876569","602815","223876","5C29941F-8359-4D5C-9893-4C268A9DF1AC","0118"
"10007802","UNIVERSITY OF READING","University of Reading","Reading, University of","","","WHITEKNIGHTS HOUSE","WHITEKNIGHTS","","READING","RG6 6UR","http://www.reading.ac.uk/","http://en.wikipedia.org/wiki/University_of_Reading","1994_Group","-0.947088","51.440564","473277","171811","E89C3602-0FB4-4044-A918-58966B8A10B2","0157"
"10007806","UNIVERSITY OF SUSSEX","University of Sussex","Sussex, University of","","","SUSSEX HOUSE","FALMER","SOUTHERN RING ROAD","BRIGHTON","BN1 9RH","http://www.sussex.ac.uk/","http://en.wikipedia.org/wiki/University_of_Sussex","1994_Group","-0.087049","50.864464","534715","108961","A8967420-49D3-4509-9912-25FB3EC75B74","0162"
"10004113","LOUGHBOROUGH UNIVERSITY","Loughborough University","Loughborough University","","","","","","LOUGHBOROUGH","LE11 3TU","http://www.lboro.ac.uk/","http://en.wikipedia.org/wiki/Loughborough_University","1994_Group, M5_Universities","-1.229467","52.764892","452089","318864","CAA9A40D-0226-4A4F-AC0D-D8299E30A1EF","0152"
"10007780","SCHOOL OF ORIENTAL AND AFRICAN STUDIES","School of Oriental and African Studies","School of Oriental and African Studies","","","10","","THORNHAUGH STREET","LONDON","WC1H 0XG","http://www.soas.ac.uk/","http://en.wikipedia.org/wiki/School_of_Oriental_and_African_Studies","1994_Group","-0.129233","51.522352","529885","182040","B1B0C694-8B41-4FDC-A4F0-8B18407D793B","0146"
"10007796","UNIVERSITY OF LEICESTER","University of Leicester","Leicester, University of","","","","","UNIVERSITY ROAD","LEICESTER","LE1 7RH","http://www.le.ac.uk/","http://en.wikipedia.org/wiki/University_of_Leicester","1994_Group, M5_Universities","-1.123802","52.621937","459412","303044","C842A34F-18F7-454D-A259-FED802368496","0125"
"10007766","INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON","Institute of Education, University of London","Education, University of London, Institute of","","","20","","BEDFORD WAY","LONDON","WC1H 0AL","http://www.ioe.ac.uk/","http://en.wikipedia.org/wiki/Institute_of_Education","1994_Group","-0.128481","51.523473","529934","182166","0D34D81A-A62C-4B11-8A90-ACB670C0AE91","0133"
