"UKPRN","PROVIDER_NAME","VIEW_NAME","SORT_NAME","ALIAS","FLAT_NAME_NUMBER","BUILDING_NAME_NUMBER","LOCALITY","STREET_NAME","TOWN","POSTCODE","WEBSITE_URL","WIKIPEDIA_URL","GROUPS","LONGITUDE","LATITUDE","EASTING","NORTHING","GTR_ID","HESA_ID"
"10007848","UNIVERSITY OF CHESTER","University of Chester","Chester, University of","","","","","PARKGATE ROAD","CHESTER","CH1 4BJ","http://www.chester.ac.uk/","http://en.wikipedia.org/wiki/University_of_Chester","Cathedrals_Group","-2.898063","53.198657","340104","367217","A7AF2001-3B9F-4618-AEDF-C2DDEE927102","0011"
"10007713","YORK ST JOHN UNIVERSITY","York St John University","York St John University","","","","","LORD MAYORS WALK","YORK","YO31 7EX","http://www.yorksj.ac.uk/","http://en.wikipedia.org/wiki/York_St_John_University","Cathedrals_Group","-1.080290","53.965263","460436","452521","E3A7C679-6D40-45AA-A211-20EB6C28AC37","0013"
"10007776","ROEHAMPTON UNIVERSITY","Roehampton University","Roehampton University","","","ERASMUS HOUSE","","ROEHAMPTON LANE","LONDON","SW15 5PJ","http://www.roehampton.ac.uk/","http://en.wikipedia.org/wiki/Roehampton_University","Cathedrals_Group","-0.245983","51.455119","521965","174363","0107329B-F086-4C36-8652-5AF6752EC6DC","0031"
"10007858","UNIVERSITY OF WALES: TRINITY SAINT DAVID","University of Wales: Trinity Saint David","Wales: Trinity Saint David, University of","","","","","COLLEGE ROAD","CARMARTHEN","SA31 3EP","http://www.trinitysaintdavid.ac.uk/","http://en.wikipedia.org/wiki/University_of_Wales,_Trinity_Saint_David","Cathedrals_Group","-4.328723","51.858379","239732","220318","","0176"
"10007145","UNIVERSITY OF GLOUCESTERSHIRE","University of Gloucestershire","Gloucestershire, University of","","","","","The Park","Cheltenham","GL50 2RH","http://www.glos.ac.uk/","http://en.wikipedia.org/wiki/University_of_Gloucestershire","Cathedrals_Group","-2.088781","51.887504","393986","220997","FFAF7C9F-6946-4B94-B0CF-2EDE44020A94","0054"
"10007811","BISHOP GROSSETESTE UNIVERSITY","Bishop Grosseteste University College Lincoln","Bishop Grosseteste University College Lincoln","","","","","LONGDALES ROAD","LINCOLN","LN1 3DY","http://www.bishopg.ac.uk/","http://en.wikipedia.org/wiki/Bishop_Grosseteste_University","Cathedrals_Group","-0.535716","53.244036","497811","372888","2455D70D-E7A2-4D77-A7FE-B618FCF13C46","0007"
"10003956","LIVERPOOL HOPE UNIVERSITY","Liverpool Hope University","Liverpool Hope University","","","HOPE PARK","","TAGGART AVENUE","LIVERPOOL","L16 9JD","http://www.hope.ac.uk/","http://en.wikipedia.org/wiki/Liverpool_Hope_University","Cathedrals_Group","-2.891936","53.391491","340781","388664","B4833390-EB88-4440-ABE0-E80140B75D12","0023"
"10037449","UNIVERSITY OF ST MARK & ST JOHN","University of St Mark & St John","St Mark & St John, University of","","","","DERRIFORD","DERRIFORD ROAD","PLYMOUTH","PL6 8BH","http:///","https://en.wikipedia.org/wiki/University_of_St_Mark_%26_St_John","Cathedrals_Group","-4.110286","50.421023","250187","60037","","0014"
"10003863","LEEDS TRINITY UNIVERSITY","Leeds Trinity University College","Leeds Trinity University College","","","","HORSFORTH","BROWNBERRIE LANE","LEEDS","LS18 5HD","http://www.leedstrinity.ac.uk/","http://en.wikipedia.org/wiki/Leeds_Trinity_University_College","Cathedrals_Group","-1.648100","53.848573","423249","439204","","0040"
"10007832","NEWMAN UNIVERSITY","Newman University College","Newman University College","","","","","GENNERS LANE","BIRMINGHAM","B32 3NT","http://www.newman.ac.uk/","http://en.wikipedia.org/wiki/Newman_University_College","Cathedrals_Group","-1.995022","52.434137","400435","281794","","0028"
