"UKPRN","PROVIDER_NAME","VIEW_NAME","SORT_NAME","ALIAS","FLAT_NAME_NUMBER","BUILDING_NAME_NUMBER","LOCALITY","STREET_NAME","TOWN","POSTCODE","WEBSITE_URL","WIKIPEDIA_URL","GROUPS","LONGITUDE","LATITUDE","EASTING","NORTHING","GTR_ID","HESA_ID"
"10004351","MIDDLESEX UNIVERSITY","Middlesex University","Middlesex University","","","","","THE BURROUGHS","LONDON","NW4 4BT","http://www.mdx.ac.uk/","http://en.wikipedia.org/wiki/Middlesex_University","Million_Plus","-0.228415","51.589717","522823","189360","AB979D25-DDBE-4C82-9D51-F38618FE37BD","0067"
"10007849","UNIVERSITY OF ABERTAY DUNDEE","University of Abertay Dundee","Abertay Dundee, University of","","","KYDD BUILDING 40","","BELL STREET","DUNDEE","DD1 1HG","http://www.abertay.ac.uk/","http://en.wikipedia.org/wiki/University_of_Abertay_Dundee","Million_Plus","-2.974381","56.463143","340057","730538","544242A5-6640-4FD5-87C5-348557ED5307","0095"
"10000571","BATH SPA UNIVERSITY","Bath Spa University","Bath Spa University","","","NEWTON PARK","NEWTON ST. LOE","","BATH","BA2 9BN","http://www.bathspa.ac.uk/","http://en.wikipedia.org/wiki/Bath_Spa_University","Million_Plus","-2.437400","51.378739","369654","164501","1A469850-02BA-4814-81EE-E60C851CABC3","0048"
"10006022","SOUTHAMPTON SOLENT UNIVERSITY","Southampton Solent University","Southampton Solent University","","","","","EAST PARK TERRACE","SOUTHAMPTON","SO14 0YN","http://www.solent.ac.uk/","http://en.wikipedia.org/wiki/Southampton_Solent_University","Million_Plus","-1.400157","50.907738","442271","112202","DD18D9A8-0FE2-4857-A405-7F41C183F65D","0037"
"10007146","UNIVERSITY OF GREENWICH","University of Greenwich","Greenwich, University of","","","30","","Park Row","London","SE10 9LS","http://www.greenwich.ac.uk/","http://en.wikipedia.org/wiki/University_of_Greenwich","Million_Plus","-0.003891","51.484493","538695","178060","2F667752-ABE0-4914-9C97-82F42CC11C60","0059"
"10006841","UNIVERSITY OF BOLTON","The University of Bolton","Bolton, The University of ","","","","","DEANE ROAD","BOLTON","BL3 5AB","http://www.bolton.ac.uk/","http://en.wikipedia.org/wiki/University_of_Bolton","Million_Plus","-2.436236","53.573527","371210","408634","6CD99DF2-EA37-4EF2-8FC0-3FB1D421D2F1","0049"
"10006299","STAFFORDSHIRE UNIVERSITY","Staffordshire University","Staffordshire University","","","","","COLLEGE ROAD","STOKE-ON-TRENT","ST4 2DE","http://www.staffs.ac.uk/","http://en.wikipedia.org/wiki/Staffordshire_University","Million_Plus","-2.182605","53.010097","387845","345879","E277EDD9-0ADD-44E4-B8A1-709121CA7E7D","0077"
"10007851","UNIVERSITY OF DERBY","University of Derby","Derby, University of","","","","","KEDLESTON ROAD","DERBY","DE22 1GB","http://www.derby.ac.uk/","http://en.wikipedia.org/wiki/University_of_Derby","Million_Plus","-1.496677","52.938545","433924","338022","FDC92628-BF2E-4EEB-A9EB-2FDED0999959","0057"
"10007159","UNIVERSITY OF SUNDERLAND","University of Sunderland","Sunderland, University of","","","","","CHESTER ROAD","SUNDERLAND","SR1 3SD","http://www.sunderland.ac.uk/","http://en.wikipedia.org/wiki/University_of_Sunderland","Million_Plus","-1.391361","54.904502","439126","556811","CDD64036-C7C4-4924-8321-6076FB363042","0078"
"10000291","ANGLIA RUSKIN UNIVERSITY","Anglia Ruskin University","Anglia Ruskin University","","","","","BISHOP HALL LANE","CHELMSFORD","CM1 1SQ","http://www.anglia.ac.uk/","http://en.wikipedia.org/wiki/Anglia_Ruskin_University","Million_Plus","0.474311","51.741266","570928","207625","56F19F82-4654-46D6-891A-EA80CBC02587","0047"
"10007140","BIRMINGHAM CITY UNIVERSITY","Birmingham City University","Birmingham City University","","","","PERRY BARR","FRANCHISE STREET","BIRMINGHAM","B42 2SU","http://www.bcu.ac.uk/","http://en.wikipedia.org/wiki/Birmingham_City_University","Million_Plus","-1.897282","52.517286","407067","291048","A022BD3A-2A7B-4E64-8877-A2E381C4CCB5","0052"
"10007800","UNIVERSITY OF THE WEST OF SCOTLAND","University of the West of Scotland","West of Scotland, University of the","","","","","HIGH STREET","PAISLEY","PA1 2BE","http://www.uws.ac.uk/","http://en.wikipedia.org/wiki/University_of_the_West_of_Scotland","Million_Plus","-4.428479","55.843669","248040","663830","6786BBB0-D64D-4D47-B725-7AD417D4ED4F","0105"
"10007166","UNIVERSITY OF WOLVERHAMPTON","University of Wolverhampton","Wolverhampton, University of","","","","","WULFRUNA STREET","WOLVERHAMPTON","WV1 1LY","http://www.wlv.ac.uk/","http://en.wikipedia.org/wiki/University_of_Wolverhampton","Million_Plus","-2.128159","52.588308","391414","298951","1A3C4B4D-A492-43D4-BD25-729BD718D1E9","0085"
"10007152","UNIVERSITY OF BEDFORDSHIRE","University of Bedfordshire","Bedfordshire, University of","","","","","UNIVERSITY SQUARE","LUTON","LU1 3JU","http://www.beds.ac.uk/","http://en.wikipedia.org/wiki/University_of_Bedfordshire","Million_Plus","-0.411382","51.877870","509451","221114","BA42FE9E-1091-4F26-9645-58A2BECFD230","0026"
"10004048","LONDON METROPOLITAN UNIVERSITY","London Metropolitan University","London Metropolitan University","","","166-220","","HOLLOWAY ROAD","LONDON","N7 8DB","http://www.londonmet.ac.uk/","http://en.wikipedia.org/wiki/London_Metropolitan_University","Million_Plus","-0.110210","51.551822","531120","185351","3A1483A5-3CFF-403D-8AB5-FAE5B8EB86B4","0202"
"10006566","UNIVERSITY OF WEST LONDON","The University of West London","West London, The University of","","","","","ST. MARYS ROAD","LONDON","W5 5RF","http://www.uwl.ac.uk/","http://en.wikipedia.org/wiki/University_of_West_London","Million_Plus","-0.303390","51.506610","517844","179995","7B7DD8F3-EC06-4C09-8E26-051B2D57EF46","0080"
"10007141","UNIVERSITY OF CENTRAL LANCASHIRE","University of Central Lancashire","Central Lancashire, University of","","","","","","PRESTON","PR1 2HE","http://www.uclan.ac.uk/","http://en.wikipedia.org/wiki/University_of_Central_Lancashire","Million_Plus","-2.707381","53.761354","353463","429675","AEC15D5A-BFD5-4D34-978F-500C126C4FDC","0053"
"10001143","CANTERBURY CHRIST CHURCH UNIVERSITY","Canterbury Christ Church University","Canterbury Christ Church University","","","","","ST. GEORGES PLACE","CANTERBURY","CT1 1UT","http://www.canterbury.ac.uk/","http://en.wikipedia.org/wiki/Canterbury_Christ_Church_University","Million_Plus, Cathedrals_Group","1.085663","51.275761","615312","157479","9DCA54FA-7193-4B70-9A85-369C1FD85B5D","0012"
