"UKPRN","PROVIDER_NAME","VIEW_NAME","SORT_NAME","ALIAS","FLAT_NAME_NUMBER","BUILDING_NAME_NUMBER","LOCALITY","STREET_NAME","TOWN","POSTCODE","WEBSITE_URL","WIKIPEDIA_URL","GROUPS","LONGITUDE","LATITUDE","EASTING","NORTHING","GTR_ID","HESA_ID"
"10004063","LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE","London School of Economics & Political Science","London School of Economics & Political Science","","","","","HOUGHTON STREET","LONDON","WC2A 2AE","http://www.lse.ac.uk/","http://en.wikipedia.org/wiki/London_School_of_Economics","Russell_Group","-0.116707","51.513968","530778","181130","EC177B1F-35EE-4B74-981D-E8382EE3D18C","0137"
"10007774","UNIVERSITY OF OXFORD","University of Oxford","Oxford, University of","","","UNIVERSITY OFFICES","","WELLINGTON SQUARE","OXFORD","OX1 2JD","http://www.ox.ac.uk/","http://en.wikipedia.org/wiki/University_of_Oxford","Science_and_Engineering_South, Russell_Group, Oxbridge","-1.262868","51.757644","450974","206807","B1F0E8FE-FE3C-49ED-9C96-1ED75312A8A0","0156"
"10006842","UNIVERSITY OF LIVERPOOL","University of Liverpool","Liverpool, University of","","PO Box 147","","","","LIVERPOOL","L69 3BX","http://www.liv.ac.uk/","http://en.wikipedia.org/wiki/University_of_Liverpool","N8_Research_Partnership, Russell_Group","-2.975554","53.406416","335243","390397","A0A585E0-6B0D-4643-A3A6-47943B4CBFEF","0126"
"10007786","UNIVERSITY OF BRISTOL","University of Bristol","Bristol, University of","","","SENATE HOUSE","","TYNDALL AVENUE","BRISTOL","BS8 1TH","http://www.bristol.ac.uk/","http://en.wikipedia.org/wiki/University_of_Bristol","GW4, NCUK, Russell_Group","-2.603292","51.459064","358182","173516","FD94FDDE-5BBC-4E12-911F-0B70DBCFA743","0112"
"10007167","UNIVERSITY OF YORK","University of York","York, University of","","","","HESLINGTON","","YORK","YO10 5DD","http://www.york.ac.uk/","http://en.wikipedia.org/wiki/University_of_York","N8_Research_Partnership, White_Rose_University_Consortium, Russell_Group","-1.053553","53.948437","462215","450672","8319F78A-DCBD-49F6-BE00-78E1CD75CDA9","0164"
"10007798","THE UNIVERSITY OF MANCHESTER","The University of Manchester","Manchester, The University of ","","","","","OXFORD ROAD","MANCHESTER","M13 9PL","http://www.manchester.ac.uk/","http://en.wikipedia.org/wiki/University_of_Manchester","N8_Research_Partnership, Russell_Group","-2.233222","53.467943","384615","396824","E5AFE7E4-FF5D-4FF1-B50B-E04A6DF7D791","0204"
"10007814","CARDIFF UNIVERSITY","Cardiff University","Cardiff University","","","","","PARK PLACE","CARDIFF","CF10 3AT","http://www.cardiff.ac.uk/","http://en.wikipedia.org/wiki/Cardiff_University","GW4, Russell_Group","-3.179907","51.489093","318176","177343","9C10D78F-6430-4CA7-9528-B96B0762A4C6","0179"
"10007158","UNIVERSITY OF SOUTHAMPTON","University of Southampton","Southampton, University of","","","","","UNIVERSITY ROAD","SOUTHAMPTON","SO17 1BJ","http://www.soton.ac.uk/","http://en.wikipedia.org/wiki/University_of_Southampton","Science_and_Engineering_South, Russell_Group","-1.395675","50.934180","442562","115145","30A429E3-83B7-4E41-99C0-14A144F07DFE","0160"
"10007784","UNIVERSITY COLLEGE LONDON","University College London","London, University College","","","","","GOWER STREET","LONDON","WC1E 6BT","http://www.ucl.ac.uk/","http://en.wikipedia.org/wiki/University_College_London","Science_and_Engineering_South, Russell_Group","-0.133401","51.524774","529589","182302","3A5E126D-C175-4730-9B7B-E6D8CF447F83","0149"
"10007163","UNIVERSITY OF WARWICK","University of Warwick","Warwick, University of","","","UNIVERSITY HOUSE","","GIBBET HILL ROAD","COVENTRY","CV4 7AL","http://www.warwick.ac.uk/","http://en.wikipedia.org/wiki/University_of_Warwick","M5_Universities, Russell_Group","-1.561687","52.380079","429932.00","275871.00","B6FB652A-60C3-48DD-9A33-075D1F759B48","0163"
