"UKPRN","PROVIDER_NAME","VIEW_NAME","SORT_NAME","ALIAS","FLAT_NAME_NUMBER","BUILDING_NAME_NUMBER","LOCALITY","STREET_NAME","TOWN","POSTCODE","WEBSITE_URL","WIKIPEDIA_URL","GROUPS","LONGITUDE","LATITUDE","EASTING","NORTHING","GTR_ID","HESA_ID"
"10005790","SHEFFIELD HALLAM UNIVERSITY","Sheffield Hallam University","Sheffield Hallam University","","","CITY CAMPUS","","POND STREET","SHEFFIELD","S1 1WB","http://www.shu.ac.uk/","http://en.wikipedia.org/wiki/Sheffield_Hallam_University","University_Alliance","-1.465255","53.379212","435670","387060","52FDE897-E62F-4388-A588-9382D1E7C2D3","0075"
"10007801","PLYMOUTH UNIVERSITY","University of Plymouth","Plymouth, University of","","","","","DRAKE CIRCUS","PLYMOUTH","PL4 8AA","http://www.plymouth.ac.uk/","http://en.wikipedia.org/wiki/University_of_Plymouth","University_Alliance","-4.138393","50.375186","248044","54998","7801F008-7C77-45E7-90E9-4345B47D138E","0073"
"10007161","TEESSIDE UNIVERSITY","Teesside University","Teesside University","","","","","BOROUGH ROAD","MIDDLESBROUGH","TS1 3BA","http://www.tees.ac.uk/","http://en.wikipedia.org/wiki/Teesside_University","University_Alliance","-1.234709","54.572089","449574","519920","B5FF76C6-FFAD-4E1F-9279-7452750B94B7","0079"
"10007773","OPEN UNIVERSITY(THE)","Open University(The)","Open University(The)","","","","WALTON HALL","","MILTON KEYNES","MK7 6AA","http://www.open.ac.uk/","http://en.wikipedia.org/wiki/The_Open_University","University_Alliance","-0.709726","52.024924","488625","237063","89E6D9CB-DAF8-40A2-A9EF-B330A5A7FC24","0001"
"10007854","CARDIFF METROPOLITAN UNIVERSITY","Cardiff Metropolitan University","Cardiff Metropolitan University","","PO BOX 377","","LLANDAFF","","CARDIFF","CF5 2SG","http://www.cardiffmet.ac.uk/","http://en.wikipedia.org/wiki/Cardiff_Metropolitan_University","University_Alliance","-3.223617","51.483555","315131","176777","8FE3A477-8A3B-4E51-AE01-4ABCE9099213","0089"
"10007164","UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL","University of the West of England, Bristol","Bristol, University of the West of England","","","FRENCHAY CAMPUS","","COLDHARBOUR LANE","BRISTOL","BS16 1QY","http://www.uwe.ac.uk/","http://en.wikipedia.org/wiki/University_of_the_West_of_England","University_Alliance","-2.547491","51.500205","362093","178061","2A80FFDA-3B8B-43BA-80C3-3AA850B49BA1","0081"
"10001282","NORTHUMBRIA UNIVERSITY NEWCASTLE","University of Northumbria at Newcastle","Northumbria at Newcastle, University of","","","ELLISON BUILDING","","ELLISON ROAD","Newcastle Upon Tyne","NE1 8ST","http://www.northumbria.ac.uk/","http://en.wikipedia.org/wiki/Northumbria_University","University_Alliance","-1.607512","54.976769","425221","564754","EF390CF0-ECD3-47D8-B9A8-7602AF319BEE","0069"
"10007151","UNIVERSITY OF LINCOLN","University of Lincoln","Lincoln, University of","","","","","CAMPUS WAY","LINCOLN","LN6 7TS","http://www.lincoln.ac.uk/","http://en.wikipedia.org/wiki/University_of_Lincoln","University_Alliance","-0.549237","53.228855","496943","371181","D64641C7-D9A6-4B41-9C8F-03F7396CB8DA","0062"
"10004180","MANCHESTER METROPOLITAN UNIVERSITY","The Manchester Metropolitan University","Manchester Metropolitan University, The","","","ALL SAINTS","","GROSVENOR SQUARE","MANCHESTER","M15 6BH","http://www.mmu.ac.uk/","http://en.wikipedia.org/wiki/Manchester_Metropolitan_University","University_Alliance","-2.239504","53.470699","384199","397132","E594FDB4-DD6F-441F-90D6-C423A2916446","0066"
"10007785","UNIVERSITY OF BRADFORD","University of Bradford","Bradford, University of","","","","","RICHMOND ROAD","BRADFORD","BD7 1DP","http://www.bradford.ac.uk/","http://en.wikipedia.org/wiki/University_of_Bradford","University_Alliance","-1.762133","53.791716","415768","432847","0838B2E1-D5E2-4ACD-AA27-D2B1BFDC124F","0111"
"10000824","BOURNEMOUTH UNIVERSITY","Bournemouth University","Bournemouth University","","POOLE HOUSE","TALBOT CAMPUS","","FERN BARROW","POOLE","BH12 5BB","http://www.bournemouth.ac.uk/","http://en.wikipedia.org/wiki/Bournemouth_University","University_Alliance","-1.897159","50.742968","407352","93713","C0088682-E757-4D2A-BA97-C2D411DDCFFB","0050"
"10007147","UNIVERSITY OF HERTFORDSHIRE","University of Hertfordshire","Hertfordshire, University of","","","","","COLLEGE LANE","HATFIELD","AL10 9AB","http://www.herts.ac.uk/","http://en.wikipedia.org/wiki/University_of_Hertfordshire","University_Alliance","-0.242150","51.752882","521435","207482","5E589D68-A73C-42BB-892C-BC508C7B60CA","0060"
"10007762","GLASGOW CALEDONIAN UNIVERSITY","Glasgow Caledonian University","Glasgow Caledonian University","","","CITY CAMPUS 70","","COWCADDENS ROAD","GLASGOW","G4 0BA","http://www.gcu.ac.uk/","http://en.wikipedia.org/wiki/Glasgow_Caledonian_University","University_Alliance","-4.250553","55.866161","259260","665956","679E3226-7E46-4F18-90B6-0B4FE734C099","0106"
"10003678","KINGSTON UNIVERSITY","Kingston University","Kingston University","","","RIVER HOUSE 53-57","","HIGH STREET","KINGSTON UPON THAMES","KT1 1LQ","http://www.kingston.ac.uk/","http://en.wikipedia.org/wiki/Kingston_University","University_Alliance, NCUK","-0.307824","51.406308","517794","168834","6E750E7A-C076-435E-8AB0-484F65D6C7AD","0063"
"10003957","LIVERPOOL JOHN MOORES UNIVERSITY","Liverpool John Moores University","Liverpool John Moores University","","","RODNEY HOUSE 70","","MOUNT PLEASANT","LIVERPOOL","L3 5UX","http://www.ljmu.ac.uk/","http://en.wikipedia.org/wiki/Liverpool_John_Moores_University","University_Alliance","-2.973176","53.403702","335397","390093","772A1E12-7175-46C0-B665-CE27930D15A8","0065"
"10007148","UNIVERSITY OF HUDDERSFIELD","University of Huddersfield","Huddersfield, University of","","","","","QUEENSGATE","HUDDERSFIELD","HD1 3DH","http://www.hud.ac.uk/","http://en.wikipedia.org/wiki/University_of_Huddersfield","University_Alliance","-1.777712","53.643730","414793","416379","DC934AED-9432-4385-AEAF-006EA2369001","0061"
"10004797","NOTTINGHAM TRENT UNIVERSITY","Nottingham Trent University","Nottingham Trent University","","","","","BURTON STREET","NOTTINGHAM","NG1 4BU","http://www.ntu.ac.uk/","http://en.wikipedia.org/wiki/Nottingham_Trent_University","University_Alliance","-1.152002","52.956383","457065","340224","1529782F-9068-4364-888E-46E4FC4881F5","0071"
"10001726","COVENTRY UNIVERSITY","Coventry University","Coventry University","","","","","PRIORY STREET","COVENTRY","CV1 5FB","http://www.coventry.ac.uk/","http://en.wikipedia.org/wiki/Coventry_University","University_Alliance","-1.505713","52.408016","433721","279003","D60C85C3-0343-430E-81C7-B04058A4B1DF","0056"
"10007793","UNIVERSITY OF SOUTH WALES/PRIFYSGOL DE CYMRU","University of Glamorgan / Prifysgol Morgannwg","Glamorgan / Prifysgol Morgannwg, University of","","","","TREFOREST","","PONTYPRIDD","CF37 1DL","http://www.southwales.ac.uk/","http://en.wikipedia.org/wiki/University_of_Glamorgan","University_Alliance","-3.325787","51.588739","308249","188598","7B3A72B2-7C68-4D1C-A7ED-102C7805B561","0090"
"10001883","DE MONTFORT UNIVERSITY","De Montfort University","De Montfort University","","","","","THE GATEWAY","LEICESTER","LE1 9BH","http://www.dmu.ac.uk/","http://en.wikipedia.org/wiki/De_Montfort_University","University_Alliance","-1.139356","52.631833","458346","304132","DF259B19-FD17-4588-BFEF-AD08F1193451","0068"
"10004930","OXFORD BROOKES UNIVERSITY","Oxford Brookes University","Oxford Brookes University","","","","HEADINGTON","GIPSY LANE","OXFORD","OX3 0BP","http://www.brookes.ac.uk/","http://en.wikipedia.org/wiki/Oxford_Brookes_University","University_Alliance","-1.223181","51.754386","453717","206473","CEB496D0-8DC8-4905-8F65-D1ACDAD75C9B","0072"
"10007155","UNIVERSITY OF PORTSMOUTH","University of Portsmouth","Portsmouth, University of","","","UNIVERSITY HOUSE","","WINSTON CHURCHILL AVENUE","PORTSMOUTH","PO1 2UP","http://www.port.ac.uk/","http://en.wikipedia.org/wiki/University_of_Portsmouth","University_Alliance","-1.093571","50.795266","463980","99915","955C55E8-783E-4842-BB2C-2D275A3CAF82","0074"
"10007156","UNIVERSITY OF SALFORD, THE","University of Salford","Salford, University of","","","FARADAY HOUSE 43","","CRESCENT","SALFORD","M5 4WT","http://www.salford.ac.uk/","http://en.wikipedia.org/wiki/University_of_Salford","University_Alliance","-2.270665","53.483558","382136","398570","ED6ACD61-0140-4C05-B93D-2C6A42CA753B","0158"
